type,entity,field,value
planet,Earth,mass_kg,5.972e24
planet,Earth,density_kg_m3,5514
planet,Earth,surface_gravity_ms2,9.81
planet,Earth,escape_velocity_kms,11.19
planet,Earth,orbital_period_years,1.0
planet,Earth,moon_count,1
planet,Mars,density_kg_m3,3933
planet,Mars,surface_gravity_ms2,3.71
planet,Mars,escape_velocity_kms,5.03
planet,Mars,moon_count,2
planet,Jupiter,density_kg_m3,1326
planet,Jupiter,escape_velocity_kms,59.5
planet,Jupiter,size_class,giant
planet,Venus,density_kg_m3,5243
planet,Venus,escape_velocity_kms,10.36
planet,Mercury,density_kg_m3,5427
planet,Mercury,surface_gravity_ms2,3.70
planet,Saturn,density_kg_m3,687
planet,Saturn,escape_velocity_kms,35.5
